M200,R200,s_DM,q_DM,Mean_Vx_DM,Mean_Vy_DM,Mean_Vz_DM,sigma_DM_1D,sigma_DM_3D,z_form,c200c,NFW_chi2,c200c_NoSubs,NFW_chi2_NoSubs,c200c_Einasto_NoSubs,NFW_chi2_Einasto_NoSubs,MStar,MGas,MGas_Hot,MGas_T,s_Gas,q_Gas,dSigma_0,dSigma_1,dSigma_2,dSigma_3,dSigma_4,dSigma_5,dSigma_6,dSigma_7,dSigma_8,dSigma_9,dSigma_NoSubs_0,dSigma_NoSubs_1,dSigma_NoSubs_2,dSigma_NoSubs_3,dSigma_NoSubs_4,dSigma_NoSubs_5,dSigma_NoSubs_6,dSigma_NoSubs_7,dSigma_NoSubs_8,dSigma_NoSubs_9,MStar_BCG100
14.738255,1724.8129,0.5704661305160033,0.7080451509845926,-209.4603729248047,-611.940673828125,18.42706298828125,818.74658203125,1420.870003956844,0.12575933241126092,3.28487965958067,1.709532212157068,3.869910715955541,1.8202231725604576,0.0,0.0,12.769618436947212,13.882994717670329,13.882852009174814,3.475580988302693,0.7090801176781099,0.8411081114530329,178771826.11336523,144172859.37263864,136959243.8138184,113667528.90609473,93894542.87672111,74060316.20460427,74482472.89484972,105650311.57665364,94257208.66911349,65263686.62804411,177193373.86219376,147784905.35780066,130892762.34890783,111292873.80409145,98440584.05803666,89318381.23010042,83238180.66632573,90372896.2031789,83133966.14489958,57135477.08653555,11.939576614838245
14.816362,1831.3416,0.46136774543945974,0.6720215228457186,-58.25281524658203,67.74728393554688,-0.8941565155982971,787.7338256835938,1405.5159266597368,0.09940180263022191,2.0688812619968844,1.3342074142735818,2.402230724182043,0.5525412303532776,0.0,0.0,12.87482699383037,13.915135166183008,13.91480166773492,2.524747810706442,0.5319978349366584,0.6776205377306315,221401864.43583518,203045511.3337139,163196941.13854462,132906573.90341216,104538396.57042593,81515572.95038983,63968122.77764362,69899349.32893828,86286116.57756278,69123005.6073201,222675258.4132095,190061238.26798177,159062366.63936514,129782945.15247121,106068481.45982641,85278672.72500739,79681628.696852,72678461.49197692,67080578.238100626,55622127.921824254,11.885490354219396
14.743414,1731.5903,0.6870536678434229,0.8270213299433885,25.141326904296875,148.12649536132812,390.0479431152344,791.0586547851562,1375.3033420417908,0.7574413726158526,6.024759265486999,0.19697065164219618,6.610705285583028,0.16482348344145856,0.0,0.0,12.770756841607387,13.901936002208172,13.90149765968245,3.489547514982898,0.7628303127849964,0.9364600774552071,380097097.4157561,351430588.5674399,328936633.7217405,291765429.109008,240732373.0323814,191108979.12394357,149870171.5284051,109024136.03969008,84089147.20874783,62453305.43912019,378315871.44669056,354134348.90055346,321736849.12147903,281657055.363823,237040739.0471363,187103347.5917505,146453020.0050093,109913301.65428875,82254419.58107716,59189970.26613704,12.216331901190994
14.640763,1600.4485,0.7258136949657676,0.7412198077354639,-280.95111083984375,235.1422576904297,-96.0391845703125,676.5380859375,1244.6954198678648,0.9972942257819404,6.858490712779057,0.0650910504537923,7.399795592067527,0.10776515952914512,0.0,0.0,12.678627986000098,13.806536674772781,13.806024526734161,2.9165500768444437,0.8751697928013858,0.8786832891376906,517398435.40590084,465921178.9273746,398526814.21094394,336412887.0886983,275564366.5756817,212491708.9698655,159380601.86098838,118464533.23680454,84665098.56616095,61519720.07774218,523149513.08200526,462349775.10354316,395851715.4393423,333507788.0616703,272616646.2993376,212257627.01218575,159384824.2770849,118152066.12233704,83626793.6768401,59066864.69787827,12.263105469807211
14.696632,1670.5953,0.5384322793281633,0.6936201431094303,-242.69384765625,-217.8722686767578,-49.66168212890625,855.7003784179688,1289.211303895533,0.9230008161779089,4.557653565791366,0.12290804064487913,5.008305331761532,0.08177321697415695,0.0,0.0,12.729545185788206,13.853363931983239,13.852261346620377,3.0565512781829534,0.7471505432750032,0.8743973916026669,289174640.9516647,263193745.69485927,225453436.24570453,199542598.99825096,168072473.8041761,136408234.0382827,117474373.27043116,92675653.38001454,70421121.11470833,56674499.03028873,293960705.4582617,257944122.51866627,224223054.8985911,197258169.22111386,164971392.9878916,138054329.91935772,114245603.14261107,89671402.0050096,66666426.86745025,50790409.2531821,12.10376754570368
14.578874,1526.2228,0.5837203728887447,0.6703170567836935,115.19918823242188,-34.941162109375,62.95664596557617,867.6723022460938,1242.0601405398215,0.12575933241126092,2.943505050892255,1.5004724925797748,3.7680693801092757,1.014663581349176,0.0,0.0,12.577888579742508,13.720980108135512,13.720172585816055,2.218067132503905,0.5996671324468372,0.670840891284441,263905181.59782302,226092838.14732742,193999837.35855693,158717323.55458173,133343375.6312958,100169899.59502465,66160170.24623676,78689001.91074625,67207057.06693244,52069686.73764614,263298310.72879136,230488854.24280232,199365132.80901217,164841143.27479917,131205903.392903,104716963.15379113,78673967.89165166,63238205.03353545,55483482.43150385,41226604.594868526,11.847296381470676
14.619783,1574.8844,0.7011458311574711,0.7412518795922439,62.931270599365234,-22.025882720947266,-127.03520202636719,720.1194458007812,1222.8571119975663,0.7326361820223115,4.336528464974612,0.08109141916615613,4.8360108456461015,0.0638325515078143,0.0,0.0,12.663874371257045,13.757287081931066,13.756586471903766,2.611299892734387,0.833037642714106,0.9021862871785304,309425226.2409514,271567557.11693996,234803075.1089242,200626889.09859264,175180707.7952595,136598305.6519677,119917682.44125593,95503174.52298433,70349007.94976734,53274660.2167467,306459706.34122634,270328967.7538123,232084949.7732485,201742843.5870638,174129053.99442047,141173761.83268568,116175481.69245209,91217894.4107534,66901795.50881979,47909597.67657915,12.108900648143594
14.60976,1562.825,0.7161557191006175,0.9443512900382705,280.8138427734375,273.4468994140625,18.267459869384766,586.7759399414062,1155.0605918364333,0.3478538418581776,2.4773786642185867,0.28634370341377846,2.878375340902798,0.14951003055158074,0.0,0.0,12.657936520513866,13.730885539340463,13.73050534412737,2.3006196602500504,0.789189617337978,0.8209164650041625,210256032.35296214,150435461.2312371,135711785.53302586,115390417.72353828,107748531.50713986,134252231.48028308,123306096.09709099,100498218.35486287,73945336.51984401,55674900.38993515,209777495.83966458,166326491.93603867,144437798.9683283,130770282.95449585,121005399.80659708,120024517.88163292,107013662.82823607,88385362.75884542,67913553.70238015,50646731.646869846,11.891719930787586
14.669662,1636.2954,0.6071265852143187,0.7637379132868181,-190.3497314453125,-45.31904602050781,548.8963012695312,687.016357421875,1311.2843185751738,0.5463921831410221,6.25059888499492,1.1138230567057772,7.301111768234026,1.7340951122699282,0.0,0.0,12.735807994437648,13.80209524045742,13.800541419958387,3.041616303084726,0.7876446605009102,0.8783620638052713,303593350.2854943,287215155.06189835,251653888.3628196,232036164.54006273,198726591.16441843,162581085.0783292,133351574.38011186,108078220.98895475,81717948.29417843,60459014.627921425,302338370.04171455,284704662.5395477,257484539.24202788,230400125.54156345,198792673.2592936,163795918.96559584,129929263.47867283,105122103.64789486,77699818.72164008,56255415.11334052,12.149391533897013
14.634767,1593.1234,0.6502676671734285,0.901727933484351,-342.5068054199219,-247.4794921875,-233.4363555908203,802.9859619140625,1217.5943224439172,0.38016786726023866,3.6408206163132237,0.1605060482617913,4.096671300547053,0.06356161678528752,0.0,0.0,12.719346978620319,13.743485158788088,13.743233072242443,2.4411316781510597,0.7441356026318388,0.8940313493524937,195640430.37100816,166960724.04198718,174180146.7737007,155601763.60847032,151676832.7261292,125024282.33673766,106389117.39468873,90596814.98441592,71070904.17430973,55995783.58336932,195801214.88522518,185694797.3907038,176213443.06678122,158080473.89441133,143824901.56765738,124070276.46695927,101373330.05193703,83541136.38998416,65242257.3945683,49924124.77630401,11.951849200068597
14.58223,1530.1582,0.5416855003468015,0.7132942527806105,-1.1418455839157104,129.49581909179688,63.60839080810547,589.2534790039062,1166.1558317790864,0.9505313515850327,5.3127884140233315,0.31952703393174703,5.768300251016259,0.2178770028094853,0.0,0.0,12.571140428845393,13.748095179381933,13.747930520477869,2.460368597416571,0.737884553960533,0.8707687226888248,442442984.3061714,388126724.9690716,338439438.91328245,275681222.8109424,219220631.44199198,166661409.43943003,126422338.01937126,96880999.46757737,72286335.1971576,52981811.873808965,440989994.99657094,389122286.08264005,334873435.1825275,272480617.3735084,216819956.88828385,166062258.4947469,126825884.3638163,93908696.94770963,69539471.76127198,50377080.288217336,12.09403322161572
14.556736,1500.4894,0.6015853689682663,0.6407004123466208,-147.9578399658203,150.3667449951172,137.42861938476562,702.23193359375,1217.0029146935058,0.38016786726023866,3.3897109125499427,0.2302260017090649,3.913170063444726,0.09607926394083209,0.0,0.0,12.610713275029964,13.690060664426044,13.688709160541327,2.265847368983153,0.7181482343141153,0.7480891921937415,202553291.25611663,168862639.6639818,209536093.56275094,265795070.2261601,249083536.30619073,185101864.8201369,149048953.92027387,118872460.36363088,83257052.91928956,57943732.89793536,216980660.05902755,219930665.26353097,219340681.2653548,222036881.59523892,213651948.7419433,178269749.32487616,142372944.9291515,111725957.7632282,79450931.59739825,55606204.66044694,11.807897806896843
14.593536,1543.4614,0.6184082878899535,0.7047118925221731,-328.26715087890625,-888.0106201171875,-264.06158447265625,756.734619140625,1194.7761347724604,0.41996894199726653,4.188265791405385,0.7683208365351343,4.689971065872783,0.47026187996215346,0.0,0.0,12.58331740711304,13.723391376155453,13.723103618496102,2.214368655935437,0.7564952660812306,0.8251417529233505,262810645.3820063,233099936.28384286,235109178.74142498,200248940.9749234,161408523.32778272,125572252.64357793,101226149.70711972,87076789.14657205,66225937.46985377,49558812.40997736,268398430.99097133,236332488.344249,230399186.82889742,195047429.05417335,155542414.40624735,122519270.2273322,99325894.1246528,82267009.92063454,61952965.63245127,45157915.31652322,12.02985191552396
14.565098,1510.1394,0.7339899008196987,0.8088971503609128,203.87612915039062,-150.1673583984375,469.1487121582031,660.319580078125,1102.7327545955916,0.3999269646135635,3.271572208638736,0.34133516077036885,3.773615993742556,0.13903946709997686,0.0,0.0,12.65998119207195,13.684444847329479,13.684439515611535,2.13560786763854,0.8610546968930829,0.923905798484095,231025893.29060972,214618833.50255722,209249744.88817555,175740914.56353903,147579648.68722734,141210933.72605085,113942181.15475348,84982346.7131327,64494738.7301081,53179354.04758755,233321062.51544476,212739219.85937107,198156158.65373755,175349900.25749618,154579671.52275607,132540177.22108275,108924461.22051008,81821556.09720121,60854793.042395785,47617847.44147393,11.787051428727121
14.342239,1272.7268,0.7766120471233546,0.9379655512428983,131.77590942382812,326.549560546875,-459.9665832519531,580.2394409179688,973.9411040391477,1.074457894547674,5.381781285656432,0.34053911398507775,6.082099036167081,0.1558526440100199,0.0,0.0,12.390232029099556,13.483632463958015,13.482845187191716,1.8330698040706783,0.8374934435827941,0.9091903786452376,382837665.91257703,305837347.0570985,241565882.9414258,209406009.28717014,170572881.3463344,132206311.27247019,101814618.76652505,73720736.74516028,55714516.112788096,44060755.73692198,384084871.47735476,311521462.0502079,248607120.96261805,204631040.36912057,167227599.7735803,132253218.07757184,101122429.79800767,74225704.79355207,53286018.49515173,38112940.45087708,11.969213076654938
14.4446335,1376.7858,0.6900739303334389,0.7352177337090358,-101.63143157958984,536.9273071289062,-387.4698791503906,610.0452270507812,1061.6462971199946,0.9972942257819404,5.744000757485586,0.4524760692117825,6.529690014838431,0.13090671408454307,0.0,0.0,12.476596758866895,13.589639874321064,13.588386746004701,2.0069701770581534,0.8202967397040795,0.8973432002593056,394237075.6408727,331812732.9208033,283038338.81740165,240296292.76514563,194918283.70474765,149249207.98793668,113914478.73159204,83034151.5546508,62091375.76101351,46072817.295495935,392909920.8239558,335251735.5390352,282543477.18546176,237193106.10656,192640774.42584202,149977179.44280767,114132737.1072673,83756303.14917086,60839667.76852256,43501849.888939194,12.079681392673919
14.659065,1623.1135,0.7476757539803852,0.9583283470493108,62.692138671875,57.815425872802734,338.0451354980469,683.86181640625,1220.576358295431,0.8868969375752482,5.473191030089122,0.18086647202771408,5.9191363773616965,0.20614724657602207,0.0,0.0,12.673627964593285,13.811829247732048,13.811726868438766,2.8480558653596413,0.8679245560555967,0.9919415374623333,475852380.1825738,418634818.62877095,352251856.8803351,287500417.2981925,237652728.45437238,190113066.6798812,145708165.31623986,114474554.63952109,83057816.44199198,60880589.433466636,459640299.65657234,410420263.5653819,346299524.53124475,287626106.370036,236028846.7515176,187182829.51644096,145657680.52909335,111779675.87847495,81402204.46479562,58287552.527220845,12.151120830409454
14.6730385,1640.6193,0.6627793607517347,0.7558456311778564,188.87525939941406,101.08480834960938,-25.992158889770508,883.1333618164062,1383.4823644160388,0.10986994045882548,4.767617287129871,1.1446214893919728,5.562663140273288,1.2578911729334656,0.0,0.0,12.684363687270105,13.789965493136341,13.788185322651447,2.8326804135818855,0.8120737648589051,0.9034451664293468,186676291.8813764,174997159.58382207,146871221.86988068,106686377.4571734,133714071.68125844,122157720.48162428,104368832.97981209,89706722.76403877,71220856.24768607,58005360.80878314,182012859.9759106,171129653.6766925,145557262.752411,114219218.10165489,126709730.79637033,121963623.66626388,103940954.73300686,85541907.74982488,66133639.114748195,51096427.19637629,11.819940247309303
14.327078,1258.0034,0.6865767588106445,0.9684263721623009,-54.08610153198242,-19.651111602783203,-171.18019104003906,568.0040893554688,957.7033018810249,1.1141505637653806,5.8950461227528415,0.19014184892365035,6.361205781317701,0.1675698157834644,0.0,0.0,12.409950257124908,13.4628692340736,13.462719711723079,1.7467287913467173,0.7788130347829435,0.9929113966221608,229137410.73217928,203068041.19206923,193707771.8588587,164215621.56633762,146962220.85183036,122496841.17937565,97008551.81212722,74608989.73174515,59726318.175883204,43540947.470628336,231003829.4885953,207332219.47443348,188919015.78855646,167163772.03571975,145008267.63406006,120464806.37586544,95695586.15683821,74473953.13098013,55754301.51474181,38772225.0512885,11.843003062852741
14.590315,1539.6312,0.8057013491788062,0.8425989947800557,-944.1181640625,-712.9720458984375,778.2247314453125,738.4525756835938,1227.5271998324627,0.1803852617057493,3.2615609690826677,1.5241869764324767,4.037880185294068,1.0106698964663752,0.0,0.0,12.591536872673467,13.70794789008235,13.707500346635685,2.664032203981652,0.8288267505397015,0.9065850838885852,189228116.41281843,246493076.78931755,235099872.40589494,202008561.97627148,153048866.6126437,110440915.67450273,68410952.57550333,72467484.14098574,65705500.282799594,52071856.530733004,223511025.70629144,226267540.78359282,217493440.28246003,190117378.87178507,147064931.71183783,107664365.98998228,77348834.7870288,63442366.39962684,56838968.61598047,44518228.3199677,11.77445231206451
14.591263,1540.832,0.6829155270582247,0.7505709730889296,462.3940734863281,1.8282452821731567,-30.328950881958008,701.73291015625,1225.5564075914012,0.38016786726023866,3.7222163108168473,0.6850250959124681,4.282612060023714,0.37694428084586057,0.0,0.0,12.663595779358026,13.698700072136752,13.698195981680199,2.323431066727754,0.7433705540556917,0.7862980510126111,249585749.02637708,220861250.18434578,187514856.81490242,150947806.26792464,100015479.33787566,91154273.23495495,81927431.0163537,80918498.79708675,63954451.957677536,50950266.178375185,243351743.02053356,219774539.12127125,184240564.1617632,148664014.83538422,113112593.06634313,95498473.4349958,86210589.55385418,72808187.43727967,57240481.10315204,42507935.45275798,11.980862382866041
14.591503,1541.0302,0.6994393657130501,0.8152446197676673,15.317721366882324,-168.42105102539062,-92.52841186523438,730.9562377929688,1206.889168071251,0.5759808451078874,4.822333767662708,0.44177077507452034,5.319022530264299,0.4766511253652033,0.0,0.0,12.698735986948483,13.71947398633632,13.719070122040582,2.4421708816084404,0.8307987527378659,0.8713928917425214,372091339.33938193,311211922.92617416,255706660.09000456,203599686.80144703,168935710.35562763,139346872.43139887,123018107.992376,93643621.9871057,71467022.12751424,56614388.43495089,367658610.95585454,307598395.3400919,253093887.0463413,206986358.0106929,172837947.34251446,144590166.34799543,118394546.3861402,88718946.4313584,65835556.98769034,49982380.6847733,12.192239572477595
14.567721,1513.1428,0.7079717193927408,0.895740252776874,253.0276336669922,119.85396575927734,50.191070556640625,881.6448364257812,1275.0652976752358,0.09940180263022191,5.4192628170262696,1.789572948444756,6.219051731098328,1.8212262265773274,0.0,0.0,12.633529190990936,13.69260026248045,13.691722148170642,2.613177598180955,0.8801258383511067,0.9566261613326678,239445067.50209677,203532750.20148855,167288828.5231886,148016355.75279415,150715996.71071413,127901307.94637552,96288599.2144123,90768753.96523257,77406403.67607567,55283557.80617392,236983395.05994737,204679782.48786378,171776558.83366394,151530890.96889657,143176166.0047393,124876426.63862282,101351601.58723351,86446495.2504038,70176924.95300929,48358848.10946297,11.923700994996693
14.565642,1510.7483,0.5771966772815408,0.7835926253628939,999.4703369140625,463.7669372558594,228.10052490234375,671.5175170898438,1171.2928975756333,0.6761104112134777,3.132167982282491,0.6403746249971516,3.632582429395649,0.2972782340728535,0.0,0.0,12.62354544145179,13.710742318067988,13.710471746190734,2.259982408580831,0.6942311511504037,0.8827401547270851,209818778.7844118,196113627.4349199,162632738.3311534,150333657.68529534,121212227.38156259,100782637.31054711,84579308.52086876,83524342.6668102,73977483.92607078,55704244.133935876,209199744.57842612,183763108.8511359,160980430.6925124,144568746.24061048,120882849.62945753,101160262.9342908,88519822.8247996,77423189.6464999,64663539.37765148,50064561.00535989,11.971147004075778
